case_id,source_path,output_glb,output_usdz,before_tris,after_tris,before_vertices,after_vertices,before_bytes,after_glb_bytes,after_usdz_bytes,before_bounds_m,after_anatomy_bounds_m,scale_factor,decimation_ratio,watertight_before,watertight_after,blender_used,usdz_status,validation_status,notes
pv-case-031,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-031\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-031\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-031\model.usdz,59744,61416,29868,30852,115368,143084,502331,"{""min"":[-0.025767,-0.020134,-0.020613],""max"":[0.023281,0.017693,0.018355]}","{""min"":[-0.024502,-0.018885,-0.01948],""max"":[0.024502,0.018885,0.01948]}",1.0,1.0,4,8,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-032,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-032\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-032\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-032\model.usdz,58000,59648,29002,29974,108888,136504,488633,"{""min"":[-0.027505,-0.021433,-0.021701],""max"":[0.028461,0.020884,0.020297]}","{""min"":[-0.027962,-0.021144,-0.020999],""max"":[0.027962,0.021144,0.020999]}",1.0,1.0,3,7,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-033,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-033\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-033\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-033\model.usdz,62968,64517,31501,32423,119108,146480,521264,"{""min"":[-0.029033,-0.015873,-0.020544],""max"":[0.021318,0.019619,0.015454]}","{""min"":[-0.025169,-0.017741,-0.017999],""max"":[0.025169,0.017741,0.017999]}",1.0,1.0,3,7,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-034,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-034\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-034\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-034\model.usdz,60344,62012,30180,31160,116280,143980,508053,"{""min"":[-0.023809,-0.021446,-0.023383],""max"":[0.022951,0.019756,0.018554]}","{""min"":[-0.02336,-0.020581,-0.020966],""max"":[0.02336,0.020581,0.020966]}",1.0,1.0,4,8,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-035,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-035\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-035\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-035\model.usdz,63000,64416,31486,32342,124916,152048,539008,"{""min"":[-0.021915,-0.022952,-0.020244],""max"":[0.018739,0.016034,0.018749]}","{""min"":[-0.020303,-0.019472,-0.019496],""max"":[0.020303,0.019472,0.019496]}",1.0,1.0,4,8,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-036,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-036\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-036\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-036\model.usdz,58000,59672,29006,29990,109036,136716,487775,"{""min"":[-0.025681,-0.020023,-0.022627],""max"":[0.025126,0.019004,0.016875]}","{""min"":[-0.025388,-0.019494,-0.019743],""max"":[0.025388,0.019494,0.019743]}",1.0,1.0,3,7,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-037,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-037\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-037\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-037\model.usdz,63000,64672,31496,32480,122048,149656,530027,"{""min"":[-0.025683,-0.021368,-0.026401],""max"":[0.02527,0.019071,0.021551]}","{""min"":[-0.02546,-0.020205,-0.023971],""max"":[0.02546,0.020205,0.023971]}",1.0,1.0,4,8,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-038,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-038\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-038\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-038\model.usdz,61400,62782,30704,31543,112688,140052,498673,"{""min"":[-0.021315,-0.015626,-0.017552],""max"":[0.021632,0.014309,0.01544]}","{""min"":[-0.021458,-0.014952,-0.016495],""max"":[0.021458,0.014952,0.016495]}",1.0,1.0,4,8,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-039,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-039\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-039\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-039\model.usdz,57992,59910,29019,29989,110556,138020,493413,"{""min"":[-0.030205,-0.027381,-0.030575],""max"":[0.032709,0.024969,0.02639]}","{""min"":[-0.031439,-0.026156,-0.028478],""max"":[0.031439,0.026156,0.028478]}",1.0,1.0,2,11,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
pv-case-040,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\public\demo-cases\pv-case-040\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-040\model.glb,C:\Users\nityj\OneDrive\Desktop\2 - Projects\Prostate View\.codex-worktrees\prostateview-ar-model-pipeline\models_ar_human\pv-case-040\model.usdz,58992,60340,29502,30348,110960,137800,483195,"{""min"":[-0.019327,-0.018679,-0.018331],""max"":[0.018766,0.016083,0.017639]}","{""min"":[-0.019033,-0.017365,-0.017982],""max"":[0.019033,0.017365,0.017982]}",1.0,1.0,4,4,False,ok,gltf_valid|size_ok|triangles_ok|usdz_present,palette_human; source_meter_scale_preserved; decimation_not_needed
